city,country,temperature,feels_like,temp_min,temp_max,pressure,humidity,weather,wind_speed,temperature_range,date
Mumbai,IN,31.99,38.97,31.99,31.99,1009,66,Haze,3.6,0.0,2026-05-28
Delhi,IN,30.05,32.53,30.05,30.05,1000,58,Thunderstorm,8.75,0.0,2026-05-28
Bengaluru,IN,28.86,30.23,25.83,30.75,1012,56,Clouds,6.88,4.920000000000002,2026-05-28
Chennai,IN,32.19,39.19,31.24,32.27,1009,75,Clouds,7.2,1.0300000000000047,2026-05-28
Hyderabad,IN,36.23,37.63,33.73,36.23,1006,34,Clouds,3.09,2.5,2026-05-28
Kolkata,IN,26.97,28.72,26.97,26.97,1007,69,Clouds,5.14,0.0,2026-05-28
Pune,IN,31.35,32.41,31.35,31.35,1009,46,Clear,6.25,0.0,2026-05-28
Jaipur,IN,40.62,40.97,40.62,40.62,1000,22,Haze,7.2,0.0,2026-05-28
